CMDLINE /opt/anaconda3/envs/aas2/bin/python /Users/noemivalentini/Desktop/deep_ga/cartpole/a2c/cartpole_a2c.py
MEM 298.210938 1706267899.1127
MEM 298.210938 1706267899.2160
MEM 298.292969 1706267899.3176
MEM 298.449219 1706267899.4179
MEM 298.410156 1706267899.5192
MEM 298.417969 1706267899.6197
MEM 298.941406 1706267899.7221
MEM 298.910156 1706267899.8272
MEM 298.949219 1706267899.9305
MEM 299.242188 1706267900.0363
MEM 299.242188 1706267900.1370
MEM 299.304688 1706267900.2392
MEM 299.910156 1706267900.3417
MEM 299.914062 1706267900.4459
MEM 299.929688 1706267900.5482
MEM 299.992188 1706267900.6519
MEM 299.992188 1706267900.7530
MEM 299.992188 1706267900.8571
MEM 300.105469 1706267900.9601
MEM 300.105469 1706267901.0604
MEM 300.105469 1706267901.1616
MEM 300.136719 1706267901.2619
MEM 300.136719 1706267901.3645
MEM 300.511719 1706267901.4680
MEM 300.433594 1706267901.5686
MEM 300.433594 1706267901.6691
MEM 300.578125 1706267901.7693
MEM 300.578125 1706267901.8698
MEM 300.722656 1706267901.9735
MEM 301.179688 1706267902.0774
MEM 301.179688 1706267902.1788
MEM 301.664062 1706267902.2810
MEM 301.703125 1706267902.3845
MEM 301.773438 1706267902.4856
MEM 302.101562 1706267902.5862
MEM 302.125000 1706267902.6873
MEM 302.125000 1706267902.7883
MEM 302.140625 1706267902.8896
MEM 302.140625 1706267902.9899
MEM 302.140625 1706267903.0926
MEM 302.148438 1706267903.1932
MEM 302.148438 1706267903.2983
MEM 302.148438 1706267903.4001
MEM 302.265625 1706267903.5034
MEM 302.265625 1706267903.6060
MEM 302.523438 1706267903.7101
MEM 302.449219 1706267903.8113
MEM 302.449219 1706267903.9117
MEM 302.828125 1706267904.0131
MEM 302.828125 1706267904.1179
MEM 302.843750 1706267904.2197
MEM 303.093750 1706267904.3201
MEM 303.093750 1706267904.4207
MEM 303.597656 1706267904.5210
MEM 303.566406 1706267904.6790
MEM 303.566406 1706267904.7802
MEM 303.621094 1706267904.8884
MEM 303.750000 1706267904.9890
MEM 303.953125 1706267905.0900
MEM 303.976562 1706267905.1952
MEM 303.976562 1706267905.2984
MEM 303.976562 1706267905.4030
MEM 303.976562 1706267905.5056
MEM 303.976562 1706267905.6059
MEM 303.976562 1706267905.7083
MEM 304.003906 1706267905.8089
MEM 304.003906 1706267905.9723
MEM 304.003906 1706267906.0731
MEM 304.003906 1706267906.2759
MEM 304.164062 1706267906.3811
MEM 304.164062 1706267906.4845
MEM 304.164062 1706267906.5873
MEM 304.195312 1706267906.6900
MEM 304.523438 1706267906.7907
MEM 304.523438 1706267906.8921
MEM 304.523438 1706267906.9950
MEM 304.843750 1706267907.1268
MEM 304.843750 1706267907.2285
MEM 304.843750 1706267907.3294
MEM 304.843750 1706267907.4319
MEM 304.917969 1706267907.5373
MEM 305.152344 1706267907.6375
MEM 305.078125 1706267907.7380
MEM 305.078125 1706267907.8384
MEM 305.078125 1706267907.9400
MEM 305.183594 1706267908.0428
MEM 305.589844 1706267908.1460
MEM 305.589844 1706267908.2485
MEM 305.632812 1706267908.3537
MEM 305.703125 1706267908.4544
MEM 306.011719 1706267908.5570
MEM 306.042969 1706267908.6577
MEM 306.042969 1706267908.7695
MEM 306.042969 1706267908.8745
MEM 306.199219 1706267908.9756
MEM 306.199219 1706267909.0778
MEM 306.199219 1706267909.1787
MEM 306.199219 1706267909.2821
MEM 306.277344 1706267909.3833
MEM 306.277344 1706267909.4853
MEM 306.277344 1706267909.5894
MEM 306.277344 1706267909.6931
MEM 306.433594 1706267909.7937
MEM 306.433594 1706267909.9044
MEM 306.433594 1706267910.0075
MEM 306.789062 1706267910.1088
MEM 306.738281 1706267910.2115
MEM 306.738281 1706267910.3139
MEM 306.738281 1706267910.4145
MEM 306.738281 1706267910.5185
MEM 307.027344 1706267910.6288
MEM 307.027344 1706267910.7338
MEM 307.027344 1706267910.8372
MEM 307.035156 1706267910.9378
MEM 307.222656 1706267911.0437
MEM 307.222656 1706267911.1531
MEM 307.222656 1706267911.2562
MEM 307.441406 1706267911.3604
MEM 307.464844 1706267911.4609
MEM 307.464844 1706267911.5642
MEM 307.500000 1706267911.6652
MEM 307.554688 1706267911.7762
MEM 308.035156 1706267911.8776
MEM 308.039062 1706267911.9796
MEM 308.054688 1706267912.0825
MEM 308.054688 1706267912.1842
MEM 308.085938 1706267912.2853
MEM 308.082031 1706267912.3904
MEM 308.082031 1706267912.4960
MEM 308.082031 1706267912.5986
MEM 308.113281 1706267912.6999
MEM 308.113281 1706267912.8029
MEM 308.113281 1706267912.9206
MEM 308.113281 1706267913.0240
MEM 308.113281 1706267913.1287
MEM 308.324219 1706267913.2339
MEM 308.324219 1706267913.3530
MEM 308.355469 1706267913.4558
MEM 308.542969 1706267913.5572
MEM 308.542969 1706267913.6583
MEM 308.542969 1706267913.7596
MEM 308.859375 1706267913.8616
MEM 309.187500 1706267913.9652
MEM 309.187500 1706267914.0694
MEM 309.187500 1706267914.1720
MEM 309.472656 1706267914.2743
MEM 309.472656 1706267914.3748
MEM 309.472656 1706267914.4755
MEM 309.777344 1706267914.5807
MEM 309.746094 1706267914.6820
MEM 309.789062 1706267914.7850
MEM 309.925781 1706267914.8884
MEM 310.261719 1706267914.9915
MEM 310.261719 1706267915.0951
MEM 310.285156 1706267915.1991
MEM 310.316406 1706267915.3019
MEM 310.285156 1706267915.4056
MEM 310.285156 1706267915.5073
MEM 310.285156 1706267915.6081
MEM 310.285156 1706267915.7124
MEM 310.316406 1706267915.8175
MEM 310.343750 1706267915.9183
MEM 310.343750 1706267916.0191
MEM 310.343750 1706267916.1201
MEM 310.343750 1706267916.2248
MEM 310.550781 1706267916.3254
MEM 310.519531 1706267916.4315
MEM 310.519531 1706267916.5339
MEM 310.519531 1706267916.6524
MEM 310.519531 1706267916.7542
MEM 310.558594 1706267916.8595
MEM 310.738281 1706267916.9602
MEM 310.738281 1706267917.0800
MEM 310.738281 1706267917.1803
MEM 310.761719 1706267917.2835
MEM 311.179688 1706267917.3852
MEM 311.148438 1706267917.4863
MEM 311.148438 1706267917.5904
MEM 311.570312 1706267917.6949
MEM 311.570312 1706267917.7987
MEM 311.574219 1706267917.8989
MEM 311.750000 1706267918.0000
MEM 311.750000 1706267918.1002
MEM 311.863281 1706267918.2048
MEM 312.414062 1706267918.3086
MEM 312.441406 1706267918.4110
MEM 312.441406 1706267918.5114
MEM 312.484375 1706267918.6119
MEM 312.484375 1706267918.7144
MEM 312.484375 1706267918.8162
MEM 312.550781 1706267918.9168
MEM 312.550781 1706267919.0204
MEM 312.582031 1706267919.1226
MEM 312.648438 1706267919.2229
MEM 312.648438 1706267919.3264
MEM 312.941406 1706267919.4277
MEM 312.941406 1706267919.5297
MEM 312.941406 1706267919.6308
MEM 313.210938 1706267919.7354
MEM 313.210938 1706267919.8367
MEM 313.210938 1706267919.9372
MEM 313.460938 1706267920.0374
MEM 313.460938 1706267920.1392
MEM 313.460938 1706267920.2395
MEM 313.527344 1706267920.3399
MEM 313.714844 1706267920.4401
MEM 313.722656 1706267920.5453
MEM 313.886719 1706267920.6487
MEM 314.468750 1706267920.7526
MEM 314.468750 1706267920.8553
MEM 314.488281 1706267920.9556
MEM 314.492188 1706267921.0570
MEM 314.492188 1706267921.1576
MEM 314.492188 1706267921.2613
MEM 314.492188 1706267921.3617
MEM 314.492188 1706267921.4620
MEM 314.492188 1706267921.5632
MEM 314.609375 1706267921.6676
MEM 314.609375 1706267921.7715
MEM 314.859375 1706267921.8740
MEM 314.859375 1706267921.9822
MEM 314.859375 1706267922.0825
MEM 314.859375 1706267922.1827
MEM 314.859375 1706267922.2831
MEM 314.914062 1706267922.3889
MEM 315.289062 1706267922.4896
MEM 315.289062 1706267922.5910
MEM 315.289062 1706267922.6931
MEM 315.296875 1706267922.7952
MEM 315.296875 1706267922.9009
MEM 315.355469 1706267923.0180
MEM 315.617188 1706267923.1184
MEM 315.617188 1706267923.2197
MEM 315.617188 1706267923.3249
MEM 315.617188 1706267923.4251
MEM 316.085938 1706267923.5267
MEM 316.085938 1706267923.6280
MEM 316.140625 1706267923.7299
MEM 316.585938 1706267923.8338
MEM 316.523438 1706267923.9374
MEM 316.542969 1706267924.0422
MEM 316.589844 1706267924.1453
MEM 316.589844 1706267924.2489
MEM 316.589844 1706267924.3500
MEM 316.593750 1706267924.4552
MEM 316.593750 1706267924.5563
MEM 316.593750 1706267924.6595
MEM 316.703125 1706267924.7607
MEM 316.703125 1706267924.8617
MEM 316.703125 1706267924.9637
MEM 316.703125 1706267925.0688
MEM 316.707031 1706267925.1702
MEM 317.054688 1706267925.2704
MEM 317.054688 1706267925.3711
MEM 317.054688 1706267925.4731
MEM 317.175781 1706267925.5783
MEM 317.175781 1706267925.6794
MEM 317.226562 1706267925.7805
MEM 317.500000 1706267925.8857
MEM 317.542969 1706267925.9977
MEM 318.226562 1706267926.0987
MEM 318.250000 1706267926.2004
MEM 318.320312 1706267926.3055
MEM 318.648438 1706267926.4108
MEM 318.664062 1706267926.5153
MEM 318.667969 1706267926.6185
MEM 318.675781 1706267926.7215
MEM 318.675781 1706267926.8224
MEM 318.675781 1706267926.9227
MEM 318.718750 1706267927.0239
MEM 318.718750 1706267927.1269
MEM 318.718750 1706267927.2310
MEM 318.839844 1706267927.3312
MEM 318.839844 1706267927.4362
MEM 318.839844 1706267927.5400
MEM 318.992188 1706267927.6437
MEM 318.992188 1706267927.7490
MEM 318.992188 1706267927.8530
MEM 319.343750 1706267927.9551
MEM 319.343750 1706267928.0576
MEM 319.343750 1706267928.1606
MEM 319.574219 1706267928.2627
MEM 319.574219 1706267928.3650
MEM 319.683594 1706267928.4686
MEM 320.121094 1706267928.5699
MEM 320.164062 1706267928.6751
MEM 320.664062 1706267928.7760
MEM 320.691406 1706267928.8783
MEM 320.722656 1706267928.9806
MEM 320.691406 1706267929.0858
MEM 320.691406 1706267929.1906
MEM 320.691406 1706267929.2910
MEM 320.691406 1706267929.3922
MEM 320.785156 1706267929.4984
MEM 320.808594 1706267929.6005
MEM 320.808594 1706267929.7035
MEM 320.808594 1706267929.8077
MEM 320.980469 1706267929.9127
MEM 320.980469 1706267930.0222
MEM 320.980469 1706267930.1225
MEM 321.324219 1706267930.2266
MEM 321.324219 1706267930.3316
MEM 321.457031 1706267930.4369
MEM 321.746094 1706267930.5393
MEM 321.746094 1706267930.6519
MEM 321.792969 1706267930.7562
MEM 322.132812 1706267930.8566
MEM 322.355469 1706267930.9615
MEM 322.417969 1706267931.0618
