CMDLINE /opt/anaconda3/envs/aas2/bin/python /Users/noemivalentini/Desktop/deep_ga/cartpole/ga/cart_run_ga.py
MEM 266.425781 1706233138.1431
MEM 266.425781 1706233138.2482
MEM 266.425781 1706233138.3533
MEM 266.425781 1706233138.4585
MEM 266.425781 1706233138.5627
MEM 266.425781 1706233138.6679
MEM 266.425781 1706233138.7731
MEM 266.425781 1706233138.8773
MEM 266.425781 1706233138.9806
MEM 266.425781 1706233139.0858
MEM 266.425781 1706233139.1884
MEM 266.425781 1706233139.2936
MEM 266.425781 1706233139.3968
MEM 266.425781 1706233139.5002
MEM 266.425781 1706233139.6018
MEM 266.425781 1706233139.7033
MEM 266.425781 1706233139.8085
MEM 266.425781 1706233139.9103
MEM 266.425781 1706233140.0137
MEM 266.425781 1706233140.1140
MEM 266.425781 1706233140.2192
MEM 266.425781 1706233140.3237
MEM 266.425781 1706233140.4289
MEM 266.425781 1706233140.5341
MEM 266.425781 1706233140.6373
MEM 266.425781 1706233140.7425
MEM 266.425781 1706233140.8476
MEM 266.425781 1706233140.9528
MEM 266.425781 1706233141.0580
MEM 266.425781 1706233141.1595
MEM 266.425781 1706233141.2632
MEM 266.425781 1706233141.3684
MEM 266.425781 1706233141.4736
MEM 266.425781 1706233141.5739
MEM 266.425781 1706233141.6777
MEM 266.425781 1706233141.7824
MEM 266.425781 1706233141.8873
MEM 266.425781 1706233141.9925
MEM 266.425781 1706233142.0978
MEM 266.425781 1706233142.2020
MEM 266.425781 1706233142.3052
MEM 266.425781 1706233142.4076
MEM 266.425781 1706233142.5097
MEM 266.425781 1706233142.6126
MEM 266.425781 1706233142.7178
MEM 266.425781 1706233142.8230
MEM 266.425781 1706233142.9238
MEM 266.425781 1706233143.0264
MEM 266.425781 1706233143.1316
MEM 266.425781 1706233143.2368
MEM 266.425781 1706233143.3374
MEM 266.425781 1706233143.4384
MEM 266.425781 1706233143.5436
MEM 266.425781 1706233143.6474
MEM 266.425781 1706233143.7513
MEM 266.425781 1706233143.8565
MEM 266.425781 1706233143.9606
MEM 266.425781 1706233144.0649
MEM 266.425781 1706233144.1701
MEM 266.425781 1706233144.2713
MEM 266.425781 1706233144.3731
MEM 266.425781 1706233144.4759
MEM 266.425781 1706233144.5811
MEM 266.425781 1706233144.6863
MEM 266.425781 1706233144.7915
MEM 266.429688 1706233144.8967
MEM 266.429688 1706233145.0020
MEM 266.429688 1706233145.1072
MEM 266.429688 1706233145.2094
MEM 266.429688 1706233145.3128
MEM 266.429688 1706233145.4180
MEM 266.429688 1706233145.5232
MEM 266.429688 1706233145.6256
MEM 266.429688 1706233145.7308
MEM 266.429688 1706233145.8326
MEM 266.429688 1706233145.9378
MEM 266.429688 1706233146.0429
MEM 266.429688 1706233146.1482
MEM 266.433594 1706233146.2494
MEM 266.433594 1706233146.3546
MEM 266.433594 1706233146.4598
MEM 266.433594 1706233146.5601
MEM 266.433594 1706233146.6631
MEM 266.433594 1706233146.7653
MEM 266.433594 1706233146.8705
MEM 266.433594 1706233146.9740
MEM 266.433594 1706233147.0792
MEM 266.433594 1706233147.1807
MEM 266.433594 1706233147.2851
MEM 266.433594 1706233147.3870
MEM 266.433594 1706233147.4875
MEM 266.433594 1706233147.5927
MEM 266.433594 1706233147.6937
MEM 266.433594 1706233147.7989
MEM 266.433594 1706233147.9021
MEM 266.433594 1706233148.0073
MEM 266.433594 1706233148.1124
MEM 266.433594 1706233148.2176
MEM 266.433594 1706233148.3189
MEM 266.433594 1706233148.4239
MEM 266.433594 1706233148.5242
MEM 266.433594 1706233148.6294
MEM 266.433594 1706233148.7341
MEM 266.433594 1706233148.8392
MEM 266.433594 1706233148.9440
MEM 266.433594 1706233149.0490
MEM 266.433594 1706233149.1496
MEM 266.433594 1706233149.2538
MEM 266.433594 1706233149.3590
MEM 266.433594 1706233149.4642
MEM 266.433594 1706233149.5693
MEM 266.433594 1706233149.6745
MEM 266.433594 1706233149.7797
MEM 266.433594 1706233149.8849
MEM 266.433594 1706233149.9876
MEM 266.433594 1706233150.0890
MEM 266.433594 1706233150.1942
MEM 266.433594 1706233150.2944
MEM 266.433594 1706233150.3954
MEM 266.433594 1706233150.5006
MEM 266.433594 1706233150.6029
MEM 266.433594 1706233150.7046
MEM 266.433594 1706233150.8098
MEM 266.433594 1706233150.9113
MEM 266.433594 1706233151.0165
MEM 266.433594 1706233151.1217
MEM 266.433594 1706233151.2240
MEM 266.433594 1706233151.3260
MEM 266.433594 1706233151.4311
MEM 266.433594 1706233151.5339
MEM 266.433594 1706233151.6376
MEM 266.433594 1706233151.7428
MEM 266.433594 1706233151.8480
MEM 266.433594 1706233151.9532
MEM 266.433594 1706233152.0584
MEM 266.433594 1706233152.1629
MEM 266.433594 1706233152.2681
MEM 266.433594 1706233152.3733
MEM 266.433594 1706233152.4741
MEM 266.433594 1706233152.5792
MEM 266.437500 1706233152.6835
MEM 266.437500 1706233152.7887
MEM 266.437500 1706233152.8939
MEM 266.437500 1706233152.9991
MEM 266.437500 1706233153.1029
MEM 266.437500 1706233153.2039
MEM 266.437500 1706233153.3084
MEM 266.437500 1706233153.4089
MEM 266.437500 1706233153.5091
MEM 266.437500 1706233153.6128
MEM 266.437500 1706233153.7158
MEM 266.437500 1706233153.8170
MEM 266.437500 1706233153.9189
MEM 266.437500 1706233154.0242
MEM 266.437500 1706233154.1294
MEM 266.437500 1706233154.2346
MEM 266.437500 1706233154.3377
MEM 266.437500 1706233154.4429
MEM 266.437500 1706233154.5464
MEM 266.437500 1706233154.6475
MEM 266.437500 1706233154.7485
MEM 266.437500 1706233154.8495
MEM 266.437500 1706233154.9547
MEM 266.437500 1706233155.0595
MEM 266.437500 1706233155.1598
MEM 266.437500 1706233155.2619
MEM 266.437500 1706233155.3671
MEM 266.437500 1706233155.4723
MEM 266.437500 1706233155.5741
MEM 266.437500 1706233155.6793
MEM 266.437500 1706233155.7824
MEM 266.437500 1706233155.8876
MEM 266.437500 1706233155.9881
MEM 266.437500 1706233156.0905
MEM 266.437500 1706233156.1928
MEM 266.437500 1706233156.2981
MEM 266.437500 1706233156.4024
MEM 266.437500 1706233156.5032
MEM 266.437500 1706233156.6084
MEM 266.437500 1706233156.7136
MEM 266.437500 1706233156.8170
MEM 266.437500 1706233156.9222
MEM 266.437500 1706233157.0255
MEM 266.437500 1706233157.1299
MEM 266.437500 1706233157.2351
MEM 266.437500 1706233157.3359
MEM 266.437500 1706233157.4378
MEM 266.437500 1706233157.5381
MEM 266.437500 1706233157.6433
MEM 266.437500 1706233157.7485
MEM 266.437500 1706233157.8537
MEM 266.437500 1706233157.9588
MEM 266.437500 1706233158.0634
MEM 266.437500 1706233158.1686
MEM 266.437500 1706233158.2736
MEM 266.437500 1706233158.3742
MEM 266.437500 1706233158.4794
MEM 266.437500 1706233158.5846
MEM 266.437500 1706233158.6879
MEM 266.437500 1706233158.7931
MEM 266.437500 1706233158.8980
MEM 266.437500 1706233159.0032
MEM 266.437500 1706233159.1084
MEM 266.437500 1706233159.2136
MEM 266.437500 1706233159.3145
MEM 266.437500 1706233159.4187
MEM 266.437500 1706233159.5239
MEM 266.437500 1706233159.6243
MEM 266.437500 1706233159.7295
MEM 266.437500 1706233159.8347
MEM 266.437500 1706233159.9379
MEM 266.437500 1706233160.0388
MEM 266.437500 1706233160.1424
MEM 266.437500 1706233160.2476
MEM 266.437500 1706233160.3528
MEM 266.437500 1706233160.4579
MEM 266.437500 1706233160.5620
MEM 266.437500 1706233160.6622
MEM 266.437500 1706233160.7658
MEM 266.437500 1706233160.8675
MEM 266.437500 1706233160.9727
MEM 266.437500 1706233161.0779
MEM 266.437500 1706233161.1817
MEM 266.437500 1706233161.2820
MEM 266.441406 1706233161.3824
MEM 266.441406 1706233161.4826
MEM 266.441406 1706233161.5848
MEM 266.441406 1706233161.6879
MEM 266.441406 1706233161.7882
MEM 266.445312 1706233161.8934
MEM 266.445312 1706233161.9943
MEM 266.445312 1706233162.0995
MEM 266.445312 1706233162.2033
MEM 266.445312 1706233162.3042
MEM 266.445312 1706233162.4375
MEM 266.445312 1706233162.5380
MEM 266.445312 1706233162.6405
MEM 266.445312 1706233162.7445
MEM 266.445312 1706233162.8497
MEM 266.445312 1706233162.9513
MEM 266.445312 1706233163.0540
MEM 266.445312 1706233163.1584
MEM 266.445312 1706233163.2589
MEM 266.445312 1706233163.3595
MEM 266.445312 1706233163.4632
MEM 266.445312 1706233163.5684
MEM 266.445312 1706233163.6736
MEM 266.445312 1706233163.7744
MEM 266.445312 1706233163.8796
MEM 266.445312 1706233163.9848
MEM 266.445312 1706233164.0880
MEM 266.449219 1706233164.1932
MEM 266.449219 1706233164.2937
MEM 266.449219 1706233164.3948
MEM 266.449219 1706233164.4989
MEM 266.449219 1706233164.6033
MEM 266.449219 1706233164.7085
MEM 266.449219 1706233164.8124
MEM 266.449219 1706233164.9176
MEM 266.449219 1706233165.0228
MEM 266.449219 1706233165.1280
MEM 266.449219 1706233165.2321
MEM 266.449219 1706233165.3345
MEM 266.449219 1706233165.4382
MEM 266.449219 1706233165.5384
MEM 266.449219 1706233165.6433
MEM 266.449219 1706233165.7485
MEM 266.449219 1706233165.8490
MEM 266.449219 1706233165.9492
MEM 266.449219 1706233166.0544
MEM 266.449219 1706233166.1550
MEM 266.449219 1706233166.2602
MEM 266.449219 1706233166.3654
MEM 266.449219 1706233166.4706
MEM 266.449219 1706233166.5747
MEM 266.449219 1706233166.6799
MEM 266.449219 1706233166.7851
MEM 266.449219 1706233166.8892
MEM 266.453125 1706233166.9944
MEM 266.453125 1706233167.0972
MEM 266.453125 1706233167.2024
MEM 266.453125 1706233167.3027
MEM 266.453125 1706233167.4079
MEM 266.453125 1706233167.5131
MEM 266.453125 1706233167.6136
MEM 266.453125 1706233167.7188
MEM 266.453125 1706233167.8240
MEM 266.453125 1706233167.9245
MEM 266.453125 1706233168.0297
MEM 266.453125 1706233168.1312
MEM 266.453125 1706233168.2352
MEM 266.453125 1706233168.3382
MEM 266.453125 1706233168.4384
MEM 266.453125 1706233168.5438
MEM 266.453125 1706233168.6490
MEM 266.453125 1706233168.7533
MEM 266.453125 1706233168.8585
MEM 266.453125 1706233168.9637
MEM 266.453125 1706233169.0660
MEM 266.453125 1706233169.1712
MEM 266.453125 1706233169.2746
MEM 266.453125 1706233169.3797
MEM 266.453125 1706233169.4849
MEM 266.453125 1706233169.5861
MEM 266.453125 1706233169.6913
MEM 266.453125 1706233169.7965
MEM 266.453125 1706233169.9016
MEM 266.453125 1706233170.0025
MEM 266.453125 1706233170.1077
MEM 266.453125 1706233170.2117
MEM 266.453125 1706233170.3150
MEM 266.453125 1706233170.4202
MEM 266.453125 1706233170.5246
MEM 266.453125 1706233170.6298
MEM 266.453125 1706233170.7337
MEM 266.453125 1706233170.8382
MEM 266.453125 1706233170.9428
MEM 266.453125 1706233171.0459
MEM 266.453125 1706233171.1503
