CMDLINE /opt/anaconda3/envs/aas2/bin/python /Users/noemivalentini/Desktop/deep_ga/cartpole/dqn/cartpole_dqn.py
MEM 311.792969 1706089548.0737
MEM 311.792969 1706089548.1745
MEM 311.792969 1706089548.2786
MEM 311.875000 1706089548.3797
MEM 311.937500 1706089548.4816
MEM 311.937500 1706089548.5869
MEM 311.957031 1706089548.6881
MEM 312.363281 1706089548.7902
MEM 312.402344 1706089548.8912
MEM 312.425781 1706089549.0019
MEM 312.429688 1706089549.1040
MEM 312.492188 1706089549.2070
MEM 312.460938 1706089549.3096
MEM 312.460938 1706089549.4102
MEM 312.460938 1706089549.5147
MEM 312.460938 1706089549.6166
MEM 312.699219 1706089549.7262
MEM 312.699219 1706089549.8318
MEM 312.718750 1706089549.9419
MEM 312.792969 1706089550.0486
MEM 312.792969 1706089550.1493
MEM 313.058594 1706089550.2513
MEM 313.125000 1706089550.3576
MEM 313.125000 1706089550.4605
MEM 313.125000 1706089550.5627
MEM 313.125000 1706089550.6645
MEM 313.125000 1706089550.7759
MEM 313.394531 1706089550.8762
MEM 313.363281 1706089550.9784
MEM 313.363281 1706089551.0811
MEM 313.363281 1706089551.1825
MEM 313.363281 1706089551.2859
MEM 313.601562 1706089551.3864
MEM 313.601562 1706089551.4899
MEM 313.601562 1706089551.5917
MEM 314.054688 1706089551.6932
MEM 313.980469 1706089551.7944
MEM 314.109375 1706089551.8996
MEM 314.332031 1706089552.0006
MEM 314.425781 1706089552.1056
MEM 314.511719 1706089552.2098
MEM 314.472656 1706089552.3154
MEM 314.472656 1706089552.4165
MEM 314.488281 1706089552.5176
MEM 314.488281 1706089552.6238
MEM 314.675781 1706089552.7246
MEM 314.835938 1706089552.8318
MEM 314.851562 1706089552.9344
MEM 314.906250 1706089553.0348
MEM 314.906250 1706089553.1439
MEM 315.273438 1706089553.2471
MEM 315.351562 1706089553.3498
MEM 315.726562 1706089553.4516
MEM 315.875000 1706089553.5566
MEM 316.042969 1706089553.6578
MEM 316.093750 1706089553.7610
MEM 316.683594 1706089553.8613
MEM 316.757812 1706089553.9647
MEM 316.773438 1706089554.0657
MEM 316.890625 1706089554.1679
MEM 316.812500 1706089554.2689
MEM 316.812500 1706089554.3692
MEM 316.972656 1706089554.4724
MEM 317.097656 1706089554.5727
MEM 317.082031 1706089554.6763
MEM 317.566406 1706089554.7803
MEM 317.566406 1706089554.8852
MEM 317.925781 1706089554.9878
MEM 318.074219 1706089555.0905
MEM 318.523438 1706089555.1914
MEM 318.441406 1706089555.2967
MEM 318.667969 1706089555.4012
MEM 318.714844 1706089555.5064
MEM 318.832031 1706089555.6098
MEM 318.832031 1706089555.7104
MEM 318.832031 1706089555.8121
MEM 318.832031 1706089555.9143
MEM 318.832031 1706089556.0182
MEM 318.886719 1706089556.1192
MEM 318.855469 1706089556.2211
MEM 318.855469 1706089556.3237
MEM 318.886719 1706089556.4272
MEM 318.910156 1706089556.5379
MEM 318.910156 1706089556.6388
MEM 318.910156 1706089556.7871
MEM 318.910156 1706089556.8919
MEM 318.953125 1706089556.9952
MEM 318.984375 1706089557.0979
MEM 319.250000 1706089557.2005
MEM 319.218750 1706089557.3012
MEM 319.261719 1706089557.4023
MEM 319.261719 1706089557.5071
MEM 319.261719 1706089557.6111
MEM 319.433594 1706089557.7197
MEM 319.433594 1706089557.8202
MEM 319.433594 1706089557.9263
MEM 319.433594 1706089558.0290
MEM 319.507812 1706089558.1435
MEM 319.703125 1706089558.2485
MEM 319.667969 1706089558.3534
MEM 319.683594 1706089558.4556
MEM 320.222656 1706089558.5599
